indicator,criterion,label,type,ahp_weight,entropy_weight,combined_weight
cumulative_delay,运行效率,累计总延误,cost,0.14814814814814814,0.0645060730155737,0.1397839406348907
avg_delay,运行效率,平均延误,cost,0.11111111111111112,0.0645060726792017,0.10645060726792017
recovery_time,运行效率,恢复时间,cost,0.12962962962962965,0.07968633744165586,0.12463530041083226
min_performance,网络韧性,最低性能,benefit,0.12962962962962965,0.07430494705162478,0.12409716137182916
loss_area,网络韧性,恢复损失面积,cost,0.11111111111111112,0.06450607224828796,0.1064506072248288
spread_range,网络韧性,传播范围,cost,0.0925925925925926,0.0891894098574396,0.0922522743190773
delay_flight_ratio,航班影响,延误航班比例,cost,0.0925925925925926,0.06450606295211275,0.08978393962854461
cancel_proxy,航班影响,取消代理数量,cost,0.05555555555555556,0.0,0.05
strategy_cost,经济性,相对策略成本,cost,0.07407407407407407,0.258176957078458,0.09248436237451246
complexity,可实施性,策略复杂度,cost,0.05555555555555556,0.24061806767564564,0.07406180676756456
